actorId;timeNs
Actor-0;945464249
Actor-1;27279820
Actor-2;23585360
Actor-3;26094171
Actor-4;21046056
Actor-5;20727817
Actor-6;20537659
Actor-7;20985188
Actor-8;23308330
Actor-9;22357402
Actor-10;22315090
Actor-11;19742528
Actor-12;20030791
Actor-13;20255063
Actor-14;17362371
Actor-15;21726709
Actor-16;18212972
Actor-17;16536046
Actor-18;19265893
Actor-19;16451576
Actor-20;19967527
Actor-21;19076177
Actor-22;16654660
Actor-23;18886995
Actor-24;17870409
Actor-25;17155065
Actor-26;20025523
Actor-27;17421659
Actor-28;18740448
Actor-29;19156933
Actor-30;18734325
Actor-31;22079035
Actor-32;17753955
Actor-33;18570732
Actor-34;20320623
Actor-35;17966869
Actor-36;18263143
Actor-37;16928714
Actor-38;15557749
Actor-39;15959728
Actor-40;16789614
Actor-41;16039066
Actor-42;17111032
Actor-43;14764415
Actor-44;14585814
Actor-45;15383442
Actor-46;14640094
Actor-47;16377175
Actor-48;15515752
Actor-49;14933411
Actor-50;15200068
Actor-51;16514794
Actor-52;16553743
Actor-53;16847969
Actor-54;17783575
Actor-55;15103045
Actor-56;14436762
Actor-57;15802772
Actor-58;15560603
Actor-59;16266665
Actor-60;16562707
Actor-61;16117986
Actor-62;16037812
Actor-63;19209159
Actor-64;15954301
Actor-65;16223558
Actor-66;15242344
Actor-67;14630229
Actor-68;15549136
Actor-69;14657114
Actor-70;14649120
Actor-71;16292767
Actor-72;16193065
Actor-73;14644095
Actor-74;14760514
Actor-75;17378438
Actor-76;15659089
Actor-77;16285029
Actor-78;16373636
Actor-79;16206729
Actor-80;16554569
Actor-81;14349451
Actor-82;14630296
Actor-83;16636437
Actor-84;16408120
Actor-85;16352443
Actor-86;16707089
Actor-87;16366263
Actor-88;15421471
Actor-89;16690201
Actor-90;15402529
Actor-91;15932588
Actor-92;18564906
Actor-93;14965960
Actor-94;17013363
Actor-95;19033109
Actor-96;16586284
Actor-97;15559404
Actor-98;14625491
Actor-99;15149618
Actor-100;15011404
Actor-101;16472435
Actor-102;14359015
Actor-103;13948052
Actor-104;14491504
Actor-105;14017611
Actor-106;13669889
Actor-107;14549375
Actor-108;13713094
Actor-109;14024878
Actor-110;13733484
Actor-111;14098616
Actor-112;13703351
Actor-113;15425368
Actor-114;15371506
Actor-115;14085577
Actor-116;14540312
Actor-117;15943452
Actor-118;14350099
Actor-119;14769160
Actor-120;15818928
Actor-121;14044092
Actor-122;15106917
Actor-123;14885134
Actor-124;14152524
Actor-125;14586663
Actor-126;15887771
Actor-127;17582069
Actor-128;16403966
Actor-129;15637908
Actor-130;13712941
Actor-131;13398096
Actor-132;13762306
Actor-133;14790284
Actor-134;13538453
Actor-135;13929657
Actor-136;14320805
Actor-137;13372075
Actor-138;13808958
Actor-139;14106453
Actor-140;13733135
Actor-141;13907582
Actor-142;13819859
Actor-143;14576083
Actor-144;13209438
Actor-145;13935120
Actor-146;14400787
Actor-147;13313998
Actor-148;13404990
Actor-149;13757834
Actor-150;14277902
Actor-151;13277875
Actor-152;13178188
Actor-153;14440324
Actor-154;15824317
Actor-155;14208765
Actor-156;14603801
Actor-157;13526558
Actor-158;13402942
Actor-159;15358468
Actor-160;14368619
Actor-161;13703704
Actor-162;12901712
Actor-163;14136167
Actor-164;13738453
Actor-165;14615345
Actor-166;15434719
Actor-167;13981702
Actor-168;14510627
Actor-169;14942026
Actor-170;14916448
Actor-171;14608771
Actor-172;14643383
Actor-173;13760345
Actor-174;13411780
Actor-175;15959826
Actor-176;15209285
Actor-177;14637643
Actor-178;13544181
Actor-179;14475976
Actor-180;12701178
Actor-181;13758451
Actor-182;13804534
Actor-183;13249679
Actor-184;12981783
Actor-185;13423840
Actor-186;14402693
Actor-187;13292975
Actor-188;13552318
Actor-189;13401913
Actor-190;13413098
Actor-191;13946480
Actor-192;14075246
Actor-193;15217945
Actor-194;12389291
Actor-195;12239709
Actor-196;12744080
Actor-197;11773564
Actor-198;11834309
Actor-199;12036578
Actor-200;12905724
Actor-201;12188444
Actor-202;12175557
Actor-203;13012830
Actor-204;15353511
Actor-205;14977013
Actor-206;12912302
Actor-207;12548797
Actor-208;11732525
Actor-209;12838226
Actor-210;12862830
Actor-211;13226309
Actor-212;12734650
Actor-213;12732857
Actor-214;13625860
Actor-215;12523874
Actor-216;13131004
Actor-217;12551961
Actor-218;14109770
Actor-219;12126903
Actor-220;12646469
Actor-221;13304836
Actor-222;12983064
Actor-223;12741035
Actor-224;12960666
Actor-225;12514110
Actor-226;12200052
Actor-227;11654333
Actor-228;11757460
Actor-229;13711197
Actor-230;11560327
Actor-231;12029211
Actor-232;11794649
Actor-233;12287552
Actor-234;12234658
Actor-235;11158955
Actor-236;12574897
Actor-237;12939439
Actor-238;11303118
Actor-239;11129018
Actor-240;11127074
Actor-241;13006696
Actor-242;12155759
Actor-243;11830241
Actor-244;12519463
Actor-245;12592442
Actor-246;12728179
Actor-247;12119419
Actor-248;13292177
Actor-249;12357487
Actor-250;12508315
Actor-251;13088097
Actor-252;13593323
Actor-253;13417385
Actor-254;13663850
Actor-255;18300956
Actor-256;16513558
Actor-257;12102238
Actor-258;12860315
Actor-259;12447587
Actor-260;11871090
Actor-261;12460365
Actor-262;13958587
Actor-263;12971314
Actor-264;11851063
Actor-265;13081761
Actor-266;12964220
Actor-267;11861262
Actor-268;11560755
Actor-269;12644821
Actor-270;13836687
Actor-271;11440779
Actor-272;12419425
Actor-273;13215825
Actor-274;12868888
Actor-275;11787366
Actor-276;12717771
Actor-277;12525852
Actor-278;11251302
Actor-279;11311398
Actor-280;11209780
Actor-281;13315666
Actor-282;11827143
Actor-283;12437319
Actor-284;11681668
Actor-285;12062626
Actor-286;11301122
Actor-287;11961669
Actor-288;11217333
Actor-289;12327062
Actor-290;11337436
Actor-291;11524692
Actor-292;13192011
Actor-293;12113917
Actor-294;10885880
Actor-295;11697326
Actor-296;11023196
Actor-297;12190382
Actor-298;11505239
Actor-299;11600367
Actor-300;11382220
Actor-301;12594157
Actor-302;11440688
Actor-303;12043607
Actor-304;11667600
Actor-305;12865681
Actor-306;11729441
Actor-307;12007192
Actor-308;12084920
Actor-309;11978538
Actor-310;10980754
Actor-311;11893605
Actor-312;11664272
Actor-313;12061460
Actor-314;11369798
Actor-315;12529662
Actor-316;11380600
Actor-317;12385428
Actor-318;11967326
Actor-319;12983003
Actor-320;13801847
Actor-321;11378284
Actor-322;11108241
Actor-323;11559038
Actor-324;12277659
Actor-325;10743000
Actor-326;11263071
Actor-327;10970902
Actor-328;11932087
Actor-329;11195061
Actor-330;11908512
Actor-331;11704685
Actor-332;12326348
Actor-333;10588715
Actor-334;10751567
Actor-335;11567770
Actor-336;12138216
Actor-337;12396924
Actor-338;11654030
Actor-339;10876521
Actor-340;11364420
Actor-341;10964712
Actor-342;10831476
Actor-343;11236854
Actor-344;11399166
Actor-345;12435195
Actor-346;11052936
Actor-347;11630023
Actor-348;12218502
Actor-349;11402576
Actor-350;11691799
Actor-351;11543730
Actor-352;12821715
Actor-353;12148316
Actor-354;11395073
Actor-355;11746815
Actor-356;14860360
Actor-357;11547034
Actor-358;11711994
Actor-359;13865855
Actor-360;13302569
Actor-361;11882903
Actor-362;11216634
Actor-363;12526945
Actor-364;12784517
Actor-365;12386850
Actor-366;13255223
Actor-367;12915834
Actor-368;11392928
Actor-369;11375903
Actor-370;11617637
Actor-371;12523820
Actor-372;12954371
Actor-373;12834445
Actor-374;12052245
Actor-375;12619478
Actor-376;11753969
Actor-377;11047988
Actor-378;11532199
Actor-379;12487618
Actor-380;13314262
Actor-381;11840241
Actor-382;12497994
Actor-383;16246676
Actor-384;13064743
Actor-385;14233888
Actor-386;13133569
Actor-387;11787676
Actor-388;11342321
Actor-389;11048203
Actor-390;11684741
Actor-391;11276762
Actor-392;11631486
Actor-393;12270528
Actor-394;13875240
Actor-395;11916147
Actor-396;13216056
Actor-397;12984524
Actor-398;14107083
Actor-399;12640212
Actor-400;13013976
Actor-401;11991375
Actor-402;11456972
Actor-403;11539788
Actor-404;11746206
Actor-405;12198557
Actor-406;11518166
Actor-407;12902667
Actor-408;12137034
Actor-409;14445782
Actor-410;12214823
Actor-411;11995832
Actor-412;12572155
Actor-413;11865241
Actor-414;13542260
Actor-415;12326376
Actor-416;11965612
Actor-417;11718461
Actor-418;12264473
Actor-419;11654974
Actor-420;13517170
Actor-421;12628437
Actor-422;11335659
Actor-423;11538899
Actor-424;12136686
Actor-425;11568699
Actor-426;12371838
Actor-427;13622164
Actor-428;12148846
Actor-429;11689717
Actor-430;11570584
Actor-431;16181711
Actor-432;11932777
Actor-433;13052304
Actor-434;11293181
Actor-435;12025550
Actor-436;11125653
Actor-437;12461759
Actor-438;12255625
Actor-439;14921504
Actor-440;13887917
Actor-441;13918494
Actor-442;15119400
Actor-443;13656533
Actor-444;12617591
Actor-445;11835116
Actor-446;12783645
Actor-447;15689019
Actor-448;15221202
Actor-449;14578551
Actor-450;12890953
Actor-451;12035191
Actor-452;12431471
Actor-453;14456649
Actor-454;11859146
Actor-455;11881553
Actor-456;12048659
Actor-457;12951004
Actor-458;13427875
Actor-459;11316694
Actor-460;11939462
Actor-461;11565529
Actor-462;14020067
Actor-463;11929574
Actor-464;14658936
Actor-465;11141711
Actor-466;12400658
Actor-467;17290114
Actor-468;15158560
Actor-469;13833928
Actor-470;11905201
Actor-471;13094689
Actor-472;12628411
Actor-473;12718726
Actor-474;13611347
Actor-475;14992365
Actor-476;13181268
Actor-477;13613527
Actor-478;13382662
Actor-479;11704769
Actor-480;14023768
Actor-481;12675656
Actor-482;14697758
Actor-483;12614978
Actor-484;12737959
Actor-485;13583593
Actor-486;13685826
Actor-487;12431205
Actor-488;13460240
Actor-489;14180524
Actor-490;11834856
Actor-491;12367419
Actor-492;14619330
Actor-493;11773125
Actor-494;11298957
Actor-495;12309144
Actor-496;13508630
Actor-497;10816213
Actor-498;12592268
Actor-499;11253985
Actor-500;12511898
Actor-501;12481312
Actor-502;11745657
Actor-503;12953267
Actor-504;12244196
Actor-505;11183160
Actor-506;12256860
Actor-507;11788665
Actor-508;13211761
Actor-509;14316235
Actor-510;12311514
Actor-511;17443630
Actor-512;13012538
Actor-513;13769496
Actor-514;14775900
Actor-515;12518239
Actor-516;12735498
Actor-517;12884254
Actor-518;12130160
Actor-519;12456414
Actor-520;12487103
Actor-521;11685459
Actor-522;13170251
Actor-523;11577699
Actor-524;13435411
Actor-525;12748670
Actor-526;13509940
Actor-527;12249472
Actor-528;11919602
Actor-529;13163708
Actor-530;14404467
Actor-531;12085267
Actor-532;13076388
Actor-533;12853690
Actor-534;11825656
Actor-535;14255945
Actor-536;12819329
Actor-537;13349114
Actor-538;12446977
Actor-539;11909559
Actor-540;13691349
Actor-541;13796382
Actor-542;12247058
Actor-543;12795308
Actor-544;13402129
Actor-545;12836998
Actor-546;14059612
Actor-547;14189554
Actor-548;12195322
Actor-549;12838428
Actor-550;13647704
Actor-551;15029234
Actor-552;12852022
Actor-553;13063784
Actor-554;14140132
Actor-555;13547444
Actor-556;15044998
Actor-557;13857165
Actor-558;14446925
Actor-559;14164482
Actor-560;12715831
Actor-561;13817214
Actor-562;14184225
Actor-563;12562861
Actor-564;14562279
Actor-565;13342159
Actor-566;13474166
Actor-567;14257171
Actor-568;13497845
Actor-569;14438014
Actor-570;14386490
Actor-571;14304125
Actor-572;13996203
Actor-573;12448098
Actor-574;14048677
Actor-575;12958787
Actor-576;13414092
Actor-577;14581994
Actor-578;14054262
Actor-579;12208787
Actor-580;13368588
Actor-581;15214007
Actor-582;12760328
Actor-583;13609143
Actor-584;11625031
Actor-585;13610892
Actor-586;12872881
Actor-587;12139302
Actor-588;14539993
Actor-589;12600640
Actor-590;12901141
Actor-591;12756037
Actor-592;12534134
Actor-593;12984762
Actor-594;13109523
Actor-595;13252016
Actor-596;12878265
Actor-597;12733807
Actor-598;14157990
Actor-599;18279759
Actor-600;14225924
Actor-601;13576735
Actor-602;12905843
Actor-603;16506984
Actor-604;16548813
Actor-605;12702852
Actor-606;13621899
Actor-607;13753460
Actor-608;11774478
Actor-609;14182012
Actor-610;12433045
Actor-611;11759124
Actor-612;12995305
Actor-613;12749773
Actor-614;14115881
Actor-615;12935476
Actor-616;14023360
Actor-617;11571677
Actor-618;11511729
Actor-619;13038349
Actor-620;13625934
Actor-621;12686953
Actor-622;12042553
Actor-623;12952401
Actor-624;13210037
Actor-625;11456136
Actor-626;12643939
Actor-627;12942988
Actor-628;11848350
Actor-629;12862278
Actor-630;12907291
Actor-631;13275330
Actor-632;11990846
Actor-633;13079964
