actorId;timeNs
Actor-0;919449010
Actor-1;32184575
Actor-2;27022728
Actor-3;38681184
Actor-4;26186684
Actor-5;25765466
Actor-6;23060645
Actor-7;25116455
Actor-8;23911887
Actor-9;25967230
Actor-10;23751006
Actor-11;26343839
Actor-12;23056517
Actor-13;26399819
Actor-14;25913554
Actor-15;30938722
Actor-16;23132889
Actor-17;26405345
Actor-18;22021803
Actor-19;22806295
Actor-20;22443660
Actor-21;23605829
Actor-22;21625914
Actor-23;22360052
Actor-24;21063561
Actor-25;22135877
Actor-26;21125357
Actor-27;21700070
Actor-28;22982553
Actor-29;25140131
Actor-30;22210940
Actor-31;22630874
Actor-32;21314469
Actor-33;21881516
Actor-34;21979224
Actor-35;20200801
Actor-36;21198637
Actor-37;21182902
Actor-38;20930865
Actor-39;20497080
Actor-40;22457731
Actor-41;23410164
Actor-42;25811148
Actor-43;23117044
Actor-44;21755198
Actor-45;21051566
Actor-46;21776792
Actor-47;23267285
Actor-48;20522843
Actor-49;21284571
Actor-50;20446436
Actor-51;21670570
Actor-52;19611729
Actor-53;22257114
Actor-54;20484808
Actor-55;23178479
Actor-56;21999462
Actor-57;20197822
Actor-58;20995707
Actor-59;20813725
Actor-60;23736547
Actor-61;19912965
Actor-62;21479730
Actor-63;23587176
Actor-64;21951127
Actor-65;19727823
Actor-66;20615771
Actor-67;20698808
Actor-68;20452058
Actor-69;21143244
Actor-70;20693610
Actor-71;20639251
Actor-72;20220912
Actor-73;19538160
Actor-74;20106468
Actor-75;19208892
Actor-76;21573894
Actor-77;23243972
Actor-78;23911268
Actor-79;22728368
Actor-80;20660087
Actor-81;22330198
Actor-82;19837031
Actor-83;20209377
Actor-84;21311370
Actor-85;24234934
Actor-86;21058447
Actor-87;21546787
Actor-88;20444156
Actor-89;20775249
Actor-90;19769653
Actor-91;21427558
Actor-92;19958736
Actor-93;21910067
Actor-94;21701527
Actor-95;24246755
Actor-96;24552549
Actor-97;20476201
Actor-98;21363147
Actor-99;22427000
Actor-100;21713415
Actor-101;19264954
Actor-102;23045171
Actor-103;20583160
Actor-104;24686264
Actor-105;25684159
Actor-106;26262841
Actor-107;26727151
Actor-108;20339026
Actor-109;19897619
Actor-110;19322166
Actor-111;23825477
Actor-112;30103174
Actor-113;20582634
Actor-114;19013034
Actor-115;19947672
Actor-116;19084143
Actor-117;19134861
Actor-118;18768884
Actor-119;19053671
Actor-120;20704179
Actor-121;18476593
Actor-122;21488183
Actor-123;20132457
Actor-124;22192615
Actor-125;23857564
Actor-126;20123950
Actor-127;25308203
Actor-128;20761920
Actor-129;19572619
Actor-130;18231559
Actor-131;18854567
Actor-132;18611983
Actor-133;18737092
Actor-134;19765077
Actor-135;19845792
Actor-136;19301511
Actor-137;18632942
Actor-138;18746730
Actor-139;19724628
Actor-140;18745143
Actor-141;20664468
Actor-142;19301943
Actor-143;20796883
Actor-144;19187328
Actor-145;19809837
Actor-146;21902140
Actor-147;18441180
Actor-148;21139366
Actor-149;19033179
Actor-150;18720531
Actor-151;18619301
Actor-152;18599240
Actor-153;19213485
Actor-154;18575004
Actor-155;18266827
Actor-156;21920235
Actor-157;19287801
Actor-158;20687240
Actor-159;20408589
Actor-160;19726082
Actor-161;18152557
Actor-162;18384609
Actor-163;18711387
Actor-164;18829843
Actor-165;20449942
Actor-166;19777220
Actor-167;18705880
Actor-168;19993721
Actor-169;19525059
Actor-170;21589535
Actor-171;18595262
Actor-172;19124361
Actor-173;19534700
Actor-174;18178132
Actor-175;19315996
Actor-176;20124151
Actor-177;20270586
Actor-178;23004590
Actor-179;18024511
Actor-180;18534316
Actor-181;17418541
Actor-182;19175778
Actor-183;17912788
Actor-184;17483271
Actor-185;18117888
Actor-186;16610568
Actor-187;16951022
Actor-188;18671553
Actor-189;18170355
Actor-190;20388993
Actor-191;21105207
Actor-192;19131879
Actor-193;17986189
Actor-194;17536574
Actor-195;17869020
Actor-196;17156646
Actor-197;16925335
Actor-198;17663823
Actor-199;17294036
Actor-200;18254409
Actor-201;17598854
Actor-202;17560844
Actor-203;19038929
Actor-204;19113044
Actor-205;18515411
Actor-206;26262554
Actor-207;24820946
Actor-208;22794219
Actor-209;23590643
Actor-210;22855886
Actor-211;22052243
Actor-212;19938234
Actor-213;22741017
Actor-214;21576233
Actor-215;17566155
Actor-216;18725243
