actorId;timeNs
Actor-0;937346774
Actor-1;28632896
Actor-2;26759373
Actor-3;376056716
Actor-4;24874788
Actor-5;26328514
Actor-6;26348427
Actor-7;27609443
Actor-8;27677474
Actor-9;25960020
Actor-10;26299234
Actor-11;24653150
Actor-12;24352113
Actor-13;26713825
Actor-14;28177473
Actor-15;29305642
Actor-16;30836854
Actor-17;31326799
Actor-18;30397815
Actor-19;31281342
Actor-20;33897528
Actor-21;25119760
Actor-22;23898585
Actor-23;24879612
Actor-24;26072693
Actor-25;24186654
Actor-26;24500835
Actor-27;25161731
Actor-28;24246756
Actor-29;25713401
Actor-30;24425266
Actor-31;25375399
Actor-32;21446779
Actor-33;22231505
Actor-34;21079997
Actor-35;22029531
Actor-36;19916939
Actor-37;21379222
Actor-38;20914090
Actor-39;21275877
Actor-40;19303573
Actor-41;19054334
Actor-42;20573317
Actor-43;20180736
Actor-44;19169867
Actor-45;18052297
Actor-46;21013874
Actor-47;18513374
Actor-48;18863465
Actor-49;17701915
Actor-50;18615875
Actor-51;20043353
Actor-52;19197026
Actor-53;21832275
Actor-54;19105410
Actor-55;18896202
Actor-56;19651500
Actor-57;21250758
Actor-58;20620205
Actor-59;20132915
Actor-60;19307449
Actor-61;19886005
Actor-62;30582999
Actor-63;21596235
Actor-64;18396476
Actor-65;20897861
Actor-66;18714343
Actor-67;17890399
Actor-68;18599232
Actor-69;18132263
Actor-70;19476098
Actor-71;21020506
Actor-72;21223048
Actor-73;22716377
Actor-74;19600654
Actor-75;19504066
Actor-76;20032980
Actor-77;21030492
Actor-78;19118891
Actor-79;19650335
Actor-80;19340655
Actor-81;18706509
Actor-82;17834360
Actor-83;18536677
Actor-84;19211169
Actor-85;21489884
Actor-86;20824265
Actor-87;19618188
Actor-88;20291927
Actor-89;21161451
Actor-90;21328191
Actor-91;19357755
Actor-92;19285350
Actor-93;19192966
Actor-94;18505056
Actor-95;21101672
Actor-96;20936123
Actor-97;20118376
Actor-98;17880063
Actor-99;18512690
Actor-100;19467790
Actor-101;19459868
Actor-102;20224694
Actor-103;20945148
Actor-104;19674254
Actor-105;19990132
Actor-106;19123474
Actor-107;20861636
Actor-108;19161503
Actor-109;19312582
Actor-110;18933149
Actor-111;19753268
Actor-112;19607000
Actor-113;18528462
Actor-114;19910677
Actor-115;19933878
Actor-116;20980789
Actor-117;19462355
Actor-118;19111185
Actor-119;19353147
Actor-120;21536568
Actor-121;19287628
Actor-122;18785615
Actor-123;18773066
Actor-124;19169092
Actor-125;20688587
Actor-126;20408996
Actor-127;21906501
Actor-128;21901733
Actor-129;19312410
Actor-130;19851107
Actor-131;20435544
Actor-132;19368720
Actor-133;18957773
Actor-134;20281138
Actor-135;18185235
Actor-136;18513350
Actor-137;18275320
Actor-138;20328823
Actor-139;18785019
Actor-140;18901614
Actor-141;19570354
Actor-142;19632773
Actor-143;17839267
Actor-144;18734090
Actor-145;21078341
Actor-146;18789038
Actor-147;19928418
Actor-148;19095435
Actor-149;18888760
Actor-150;18895723
Actor-151;18131954
Actor-152;18719508
Actor-153;18613136
Actor-154;20645822
Actor-155;24551774
Actor-156;25565079
Actor-157;27448013
Actor-158;24901738
Actor-159;29597318
Actor-160;30017877
Actor-161;27665127
Actor-162;26126975
Actor-163;23218869
Actor-164;23970836
Actor-165;22947451
Actor-166;23816109
Actor-167;20789933
Actor-168;23237631
Actor-169;22144240
Actor-170;21892653
Actor-171;21672165
Actor-172;19993760
Actor-173;23809293
Actor-174;20911952
Actor-175;21724710
Actor-176;21968298
Actor-177;23438906
Actor-178;24127801
Actor-179;23242471
Actor-180;21801799
Actor-181;25999879
Actor-182;24587720
Actor-183;22738089
Actor-184;22228274
Actor-185;21196640
Actor-186;20991439
Actor-187;19538660
Actor-188;21040839
Actor-189;19926163
Actor-190;19019814
Actor-191;21786460
Actor-192;22088904
Actor-193;19558208
Actor-194;19885114
Actor-195;19815280
Actor-196;20703490
Actor-197;19372528
Actor-198;20926645
Actor-199;17633793
Actor-200;21080663
Actor-201;17616257
Actor-202;16674649
Actor-203;20538129
Actor-204;17572607
Actor-205;17149004
Actor-206;18896451
Actor-207;17931235
Actor-208;19169693
Actor-209;16692259
Actor-210;19858040
Actor-211;21327225
Actor-212;17523903
Actor-213;18585310
Actor-214;19514335
Actor-215;20743385
Actor-216;18292970
Actor-217;18166259
Actor-218;22641540
Actor-219;21177491
Actor-220;19339626
Actor-221;20306358
Actor-222;19369047
Actor-223;17098644
Actor-224;18665328
Actor-225;16985382
Actor-226;17664841
Actor-227;19168601
Actor-228;17692546
Actor-229;20117754
Actor-230;17439842
Actor-231;20854762
Actor-232;19095908
Actor-233;18075162
Actor-234;18614067
Actor-235;18804736
Actor-236;17062806
Actor-237;18053361
Actor-238;17668742
Actor-239;17094745
Actor-240;21724748
Actor-241;23981608
Actor-242;20587333
Actor-243;22887671
Actor-244;21298587
Actor-245;20452748
Actor-246;22137905
Actor-247;24510759
Actor-248;23488131
Actor-249;20130866
Actor-250;20323202
Actor-251;16394105
Actor-252;21027997
Actor-253;18093510
Actor-254;17501378
Actor-255;25695143
Actor-256;21771564
Actor-257;21713943
Actor-258;19954301
Actor-259;19819839
Actor-260;21481462
Actor-261;16987164
Actor-262;17161427
Actor-263;19989886
Actor-264;20402727
Actor-265;19979008
Actor-266;18029331
Actor-267;16243918
Actor-268;17195889
Actor-269;20573970
Actor-270;19062168
Actor-271;20017990
Actor-272;17253572
Actor-273;20730506
Actor-274;23262838
Actor-275;23916075
Actor-276;21102792
Actor-277;18969478
Actor-278;20824097
Actor-279;21432203
Actor-280;21580026
Actor-281;22606726
Actor-282;20475257
Actor-283;24504992
Actor-284;24586663
Actor-285;22796037
Actor-286;19732205
Actor-287;17761709
Actor-288;17755052
Actor-289;19296112
Actor-290;19114294
Actor-291;16627082
Actor-292;18935024
Actor-293;16925382
Actor-294;17260110
Actor-295;17364587
Actor-296;16841697
Actor-297;16773292
Actor-298;15271040
Actor-299;14562269
Actor-300;15979082
Actor-301;17217502
Actor-302;15697888
Actor-303;15861603
Actor-304;15561096
Actor-305;14871144
Actor-306;15043030
Actor-307;14909131
Actor-308;15133843
Actor-309;15744857
Actor-310;15038447
Actor-311;15463917
Actor-312;15196216
Actor-313;15389916
Actor-314;15005376
Actor-315;17968103
Actor-316;16899758
Actor-317;17659796
Actor-318;18660790
Actor-319;17780651
Actor-320;15779823
Actor-321;16984203
Actor-322;16808819
Actor-323;15619721
Actor-324;16840900
Actor-325;16181155
Actor-326;15482187
Actor-327;16772702
Actor-328;17411630
Actor-329;16764465
Actor-330;18929327
Actor-331;18893996
Actor-332;17593851
Actor-333;19524787
Actor-334;20539022
Actor-335;18259702
Actor-336;34277699
Actor-337;24895319
Actor-338;21008187
Actor-339;24247158
Actor-340;21230159
Actor-341;18579049
Actor-342;18106801
Actor-343;21457842
Actor-344;19322845
Actor-345;20765245
Actor-346;17532375
Actor-347;19164221
Actor-348;17405992
Actor-349;16105569
Actor-350;17939822
Actor-351;15944063
Actor-352;15877851
Actor-353;15828559
Actor-354;15114325
Actor-355;15791937
Actor-356;16703007
Actor-357;15407387
Actor-358;17453959
Actor-359;15113795
Actor-360;14471117
Actor-361;14174001
Actor-362;16894726
Actor-363;15366390
Actor-364;14564325
Actor-365;14905624
Actor-366;15054410
Actor-367;19151504
Actor-368;16465077
Actor-369;15032407
Actor-370;16615147
Actor-371;16564647
Actor-372;15834718
Actor-373;15646216
Actor-374;15385740
Actor-375;14987925
Actor-376;17299498
Actor-377;15311193
Actor-378;16696988
Actor-379;17321707
Actor-380;21712535
Actor-381;15854158
Actor-382;16184433
Actor-383;21556886
Actor-384;20459301
Actor-385;17358430
Actor-386;20746922
Actor-387;21471032
Actor-388;20753581
Actor-389;20135680
Actor-390;16316199
Actor-391;16554354
Actor-392;19782704
Actor-393;17134158
Actor-394;15928691
Actor-395;18941220
Actor-396;18132145
Actor-397;17271082
Actor-398;15412699
Actor-399;17578935
Actor-400;16912768
Actor-401;14865007
Actor-402;17497521
Actor-403;19083704
Actor-404;15042013
Actor-405;16361709
Actor-406;19094360
Actor-407;16220473
Actor-408;17288859
Actor-409;18781116
Actor-410;16249747
Actor-411;18646438
Actor-412;15529326
Actor-413;17903752
Actor-414;14276267
Actor-415;14844606
Actor-416;15289337
Actor-417;15180981
Actor-418;16387758
Actor-419;15903139
Actor-420;16150625
Actor-421;15890800
Actor-422;15890407
Actor-423;17093830
Actor-424;15286229
Actor-425;15636855
Actor-426;14374220
Actor-427;15465723
Actor-428;17318589
Actor-429;15734735
Actor-430;15594983
Actor-431;18133434
Actor-432;18944011
Actor-433;24092017
