actorId;timeNs
Actor-0;876503320
Actor-1;30703165
Actor-2;407011789
Actor-3;24271084
Actor-4;22120490
Actor-5;24920896
Actor-6;25528828
Actor-7;23628237
Actor-8;28109969
Actor-9;24374974
Actor-10;23167259
Actor-11;22659414
Actor-12;21333107
Actor-13;19987734
Actor-14;19444554
Actor-15;23759836
Actor-16;20651297
Actor-17;21830328
Actor-18;20665414
Actor-19;22273213
Actor-20;21858338
Actor-21;21750587
Actor-22;22314618
Actor-23;20658878
Actor-24;20806256
Actor-25;22040808
Actor-26;23363748
Actor-27;20167916
Actor-28;19928321
Actor-29;18776064
Actor-30;18552220
Actor-31;21347595
Actor-32;20581704
Actor-33;20010962
Actor-34;21068976
Actor-35;21504597
Actor-36;23781504
Actor-37;20678765
Actor-38;21701279
Actor-39;19887794
Actor-40;21056390
Actor-41;23065110
Actor-42;20828807
Actor-43;20836449
Actor-44;22005089
Actor-45;18936599
Actor-46;20571253
Actor-47;21289775
Actor-48;21494390
Actor-49;19055762
Actor-50;20372892
Actor-51;20825317
Actor-52;21053924
Actor-53;20014106
Actor-54;20116413
Actor-55;19379473
Actor-56;19188880
Actor-57;19581214
Actor-58;19522240
Actor-59;19536864
Actor-60;19228619
Actor-61;19581273
Actor-62;18781037
Actor-63;21153091
Actor-64;19349832
Actor-65;18936390
Actor-66;31881140
Actor-67;19311350
Actor-68;20122666
Actor-69;18869685
Actor-70;21009231
Actor-71;19353302
Actor-72;19426955
Actor-73;19875967
Actor-74;18222385
Actor-75;19603660
Actor-76;20042488
Actor-77;21120334
Actor-78;19261203
Actor-79;20084175
Actor-80;17929549
Actor-81;19866770
Actor-82;20222752
Actor-83;18816036
Actor-84;20727993
Actor-85;20087542
Actor-86;21188711
Actor-87;19262343
Actor-88;21221095
Actor-89;22153825
Actor-90;18993693
Actor-91;19173464
Actor-92;18028749
Actor-93;16997319
Actor-94;19852963
Actor-95;19402083
Actor-96;19360691
Actor-97;18488078
Actor-98;19648032
Actor-99;18350949
Actor-100;18589149
Actor-101;18442155
Actor-102;18133059
Actor-103;17971220
Actor-104;17845956
Actor-105;18592025
Actor-106;17411280
Actor-107;18423105
Actor-108;18945946
Actor-109;18706470
Actor-110;18072597
Actor-111;20571167
Actor-112;19290141
Actor-113;17346478
Actor-114;17830960
Actor-115;19674823
Actor-116;17400433
Actor-117;19852644
Actor-118;20299430
Actor-119;18231275
Actor-120;17654871
Actor-121;18852644
Actor-122;18389659
Actor-123;17073476
Actor-124;17905220
Actor-125;20527977
Actor-126;19848556
Actor-127;21357478
Actor-128;19546025
Actor-129;19735163
Actor-130;19289439
Actor-131;22295367
Actor-132;22572635
Actor-133;19473709
Actor-134;18508137
Actor-135;18573233
Actor-136;19306657
Actor-137;19953040
Actor-138;18762522
Actor-139;17827572
Actor-140;18644183
Actor-141;18274231
Actor-142;18719703
Actor-143;17879523
Actor-144;18817187
Actor-145;18999123
Actor-146;20235831
Actor-147;20209703
Actor-148;18585512
Actor-149;18354905
Actor-150;17032160
Actor-151;17875667
Actor-152;16460704
Actor-153;17107348
Actor-154;18490252
Actor-155;20424235
Actor-156;21977924
Actor-157;17094668
Actor-158;17272013
Actor-159;20711179
Actor-160;19018387
Actor-161;18371119
Actor-162;18963571
Actor-163;18848819
Actor-164;20056364
Actor-165;20337883
Actor-166;19529285
Actor-167;18321635
Actor-168;20825731
Actor-169;21318782
Actor-170;21406121
Actor-171;19483345
Actor-172;19503043
Actor-173;20474956
Actor-174;21946914
Actor-175;22483295
Actor-176;24387223
Actor-177;23884376
Actor-178;25462434
Actor-179;22286418
Actor-180;25811159
Actor-181;22751054
Actor-182;20650708
Actor-183;21630255
Actor-184;19040015
Actor-185;23599488
Actor-186;23825796
Actor-187;22573310
Actor-188;24423340
Actor-189;20526073
Actor-190;24898394
Actor-191;26619217
Actor-192;22526338
Actor-193;22679276
Actor-194;21683619
Actor-195;19660311
Actor-196;19412111
Actor-197;17940706
Actor-198;19435157
Actor-199;17833051
Actor-200;18529173
Actor-201;19135013
Actor-202;21676102
Actor-203;20149107
Actor-204;17587594
Actor-205;19006872
Actor-206;18398893
Actor-207;18930523
Actor-208;17543493
Actor-209;17613812
Actor-210;18837815
Actor-211;18185894
Actor-212;17974897
Actor-213;18311892
Actor-214;16947960
Actor-215;18029385
Actor-216;20272867
Actor-217;19101135
Actor-218;17028748
Actor-219;16225435
Actor-220;17707764
Actor-221;17795296
Actor-222;18760485
Actor-223;16977420
Actor-224;17668779
Actor-225;16344394
Actor-226;17543338
Actor-227;16821962
Actor-228;17231185
Actor-229;17356080
Actor-230;18104592
Actor-231;17753424
Actor-232;18357065
Actor-233;15666502
Actor-234;15073973
Actor-235;17932422
Actor-236;15378467
Actor-237;16360207
Actor-238;15819682
Actor-239;16083440
Actor-240;15412374
Actor-241;15132773
Actor-242;16057290
Actor-243;15859135
Actor-244;16079420
Actor-245;16259039
Actor-246;15722743
Actor-247;15786678
Actor-248;19187714
Actor-249;18915978
Actor-250;17467200
Actor-251;21258885
Actor-252;17972447
Actor-253;18994649
